item_id,upc,item_desc,product_key,pos_desc,department_code,department_name,category_code,category_name,brand,vendor,unit_price,unit_cost,cost_source,margin_pct,food_stamp,wic,season,popularity,observed_units_per_day,demand_source
00200000000011,200000000011,HOMESTYLE BRANDY 750 ML,HOMESTYLE BRANDY,HOMESTYLE BRANDY 750 M,10,Alcohol,104,BRANDY,Cedar Hollow,Meridian Import Group,25.65,18.0097,synthetic,29.8,N,N,winter,1.1158e-06,,synthetic
00200000000012,200000000012,RYE CLASSIC VODKA 750 ML,RYE CLASSIC VODKA,RYE CLASSIC VODKA 750 ,10,Alcohol,102,VODKA,,Belmont Provisions,13.32,9.4323,synthetic,29.2,N,N,holiday,1.7609e-06,,synthetic
00200000000013,200000000013,SEMI SWEET WHITE WINE 1 L,SEMI SWEET WHITE WINE,SEMI SWEET WHITE WINE ,10,Alcohol,101,WINE,Yarilo,,29.06,19.9546,synthetic,31.3,N,N,holiday,5.756e-06,,synthetic
00200000000014,200000000014,FARMHOUSE FAMILY LIQUEUR 500 ML,FARMHOUSE FAMILY LIQUEUR,FARMHOUSE FAMILY LIQUE,10,Alcohol,103,LIQUEUR,Nevsky,,32.55,23.3463,synthetic,28.3,N,N,winter,5.083e-07,,synthetic
00200000000015,200000000015,CRANBERRY VILLAGE VODKA 330 ML,CRANBERRY VILLAGE VODKA,CRANBERRY VILLAGE VODK,10,Alcohol,102,VODKA,,Lakeshore Dairy Co,54.16,38.2973,synthetic,29.3,N,N,holiday,5.068e-07,,synthetic
00200000000016,200000000016,CRANBERRY FARMHOUSE VODKA 2 L,CRANBERRY FARMHOUSE VODKA,CRANBERRY FARMHOUSE VO,10,Alcohol,102,VODKA,Jantar,,13.42,9.961,synthetic,25.8,N,N,holiday,5.456e-07,,synthetic
00200000000017,200000000017,SELECT LIQUEUR 750 ML,SELECT LIQUEUR,SELECT LIQUEUR 750 ML,10,Alcohol,103,LIQUEUR,Nevsky,Overland Foods,20.23,15.1354,synthetic,25.2,N,N,holiday,9.1579e-06,,synthetic
00200000000018,200000000018,DRY WHITE WINE 1.5 L,DRY WHITE WINE,DRY WHITE WINE 1.5 L,10,Alcohol,101,WINE,,,14.77,10.8125,synthetic,26.8,N,N,holiday,1.5357e-06,,synthetic
00200000000019,200000000019,GARDEN ORIGINAL BRANDY 250 ML,GARDEN ORIGINAL BRANDY,GARDEN ORIGINAL BRANDY,10,Alcohol,104,BRANDY,White Birch,Northfield Bakery Supply,18.1,12.2355,synthetic,32.4,N,N,winter,1.02874e-05,,synthetic
00200000000020,200000000020,ROSE HOMESTYLE WINE 2 L,ROSE HOMESTYLE WINE,ROSE HOMESTYLE WINE 2 ,10,Alcohol,101,WINE,,,30.35,20.7457,synthetic,31.6,N,N,holiday,1.0409e-06,,synthetic
00200000000021,200000000021,CRANBERRY SELECT VODKA 1.5 L,CRANBERRY SELECT VODKA,CRANBERRY SELECT VODKA,10,Alcohol,102,VODKA,,Meridian Import Group,30.61,21.0272,synthetic,31.3,N,N,holiday,8.428e-07,,synthetic
00200000000022,200000000022,TRADITIONAL BRANDY 1 L,TRADITIONAL BRANDY,TRADITIONAL BRANDY 1 L,10,Alcohol,104,BRANDY,Falcon Ridge,Dockside Seafood Co,22.8,16.4652,synthetic,27.8,N,N,winter,6.672e-07,,synthetic
00200000000023,200000000023,VILLAGE BRANDY 250 ML,VILLAGE BRANDY,VILLAGE BRANDY 250 ML,10,Alcohol,104,BRANDY,,Dockside Seafood Co,34.07,22.7248,synthetic,33.3,N,N,fall,5.546e-07,,synthetic
00200000000024,200000000024,WHEAT VODKA 330 ML,WHEAT VODKA,WHEAT VODKA 330 ML,10,Alcohol,102,VODKA,,,28.49,19.9848,synthetic,29.9,N,N,holiday,1.7635e-06,,synthetic
00200000000025,200000000025,CLASSIC SELECT VODKA 330 ML,CLASSIC SELECT VODKA,CLASSIC SELECT VODKA 3,10,Alcohol,102,VODKA,,,31.21,21.2268,synthetic,32.0,N,N,holiday,2.0617e-06,,synthetic
00200000000026,200000000026,CLASSIC TRADITIONAL LIQUEUR 2 L,CLASSIC TRADITIONAL LIQUEUR,CLASSIC TRADITIONAL LI,10,Alcohol,103,LIQUEUR,,,22.39,16.8145,synthetic,24.9,N,N,holiday,3.3936e-06,,synthetic
00200000000027,200000000027,DRY RED PREMIUM WINE 1 L,DRY RED PREMIUM WINE,DRY RED PREMIUM WINE 1,10,Alcohol,101,WINE,Cedar Hollow,Belmont Provisions,9.08,6.2174,synthetic,31.5,N,N,holiday,9.0539e-06,,synthetic
00200000000028,200000000028,CLASSIC SELECT BRANDY 1 L,CLASSIC SELECT BRANDY,CLASSIC SELECT BRANDY ,10,Alcohol,104,BRANDY,,,54.36,38.4914,synthetic,29.2,N,N,winter,2.28641e-05,,synthetic
00200000000029,200000000029,ORIGINAL BRANDY 330 ML,ORIGINAL BRANDY,ORIGINAL BRANDY 330 ML,10,Alcohol,104,BRANDY,Orlik,,17.7,12.9831,synthetic,26.6,N,N,winter,6.362e-07,,synthetic
00200000000030,200000000030,CRANBERRY VODKA 1 L,CRANBERRY VODKA,CRANBERRY VODKA 1 L,10,Alcohol,102,VODKA,Cherna Gora,Lakeshore Dairy Co,39.79,29.0457,synthetic,27.0,N,N,holiday,6.708e-07,,synthetic
00200000000031,200000000031,DRY WHITE TRADITIONAL WINE 250 ML,DRY WHITE TRADITIONAL WINE,DRY WHITE TRADITIONAL ,10,Alcohol,101,WINE,Zorka,,28.55,20.3571,synthetic,28.7,N,N,holiday,5.128e-07,,synthetic
00200000000032,200000000032,TRADITIONAL BRANDY 750 ML,TRADITIONAL BRANDY,TRADITIONAL BRANDY 750,10,Alcohol,104,BRANDY,,Northfield Bakery Supply,41.68,30.6934,synthetic,26.4,N,N,winter,6.478e-07,,synthetic
00200000000033,200000000033,PREMIUM LIQUEUR 500 ML,PREMIUM LIQUEUR,PREMIUM LIQUEUR 500 ML,10,Alcohol,103,LIQUEUR,Elbrus,Anchor Foods Import,26.05,19.3242,synthetic,25.8,N,N,holiday,5.8344e-06,,synthetic
00200000000034,200000000034,HOMESTYLE BRANDY 500 ML,HOMESTYLE BRANDY,HOMESTYLE BRANDY 500 M,10,Alcohol,104,BRANDY,,Fairline Produce,19.79,13.7486,synthetic,30.5,N,N,winter,1.2568e-06,,synthetic
00200000000035,200000000035,PEPPER VODKA 1.5 L,PEPPER VODKA,PEPPER VODKA 1.5 L,10,Alcohol,102,VODKA,,,14.54,10.5873,synthetic,27.2,N,N,fall,1.1706e-06,,synthetic
00200000000036,200000000036,ROSE WINE 1 L,ROSE WINE,ROSE WINE 1 L,10,Alcohol,101,WINE,Yarilo,Belmont Provisions,31.29,24.4004,synthetic,22.0,N,N,summer,5.925e-07,,synthetic
00200000000037,200000000037,HONEY GARDEN VODKA 2 L,HONEY GARDEN VODKA,HONEY GARDEN VODKA 2 L,10,Alcohol,102,VODKA,Cedar Hollow,Continental Wholesale,52.34,36.9657,synthetic,29.4,N,N,holiday,7.153e-07,,synthetic
00200000000038,200000000038,WHEAT VODKA 500 ML,WHEAT VODKA,WHEAT VODKA 500 ML,10,Alcohol,102,VODKA,,Lakeshore Dairy Co,18.97,13.3277,synthetic,29.7,N,N,holiday,5.0346e-06,,synthetic
00200000000039,200000000039,TRADITIONAL BRANDY 2 L,TRADITIONAL BRANDY,TRADITIONAL BRANDY 2 L,10,Alcohol,104,BRANDY,Cedar Hollow,Keystone Grocers Supply,19.18,13.8685,synthetic,27.7,N,N,winter,1.40857e-05,,synthetic
00200000000040,200000000040,ROSE WINE 2 L,ROSE WINE,ROSE WINE 2 L,10,Alcohol,101,WINE,,,9.13,6.226,synthetic,31.8,N,N,holiday,5.629e-07,,synthetic
00200000000041,200000000041,SELECT LIQUEUR 1.5 L,SELECT LIQUEUR,SELECT LIQUEUR 1.5 L,10,Alcohol,103,LIQUEUR,,Keystone Grocers Supply,30.8,22.3452,synthetic,27.5,N,N,holiday,2.7241e-06,,synthetic
00200000000042,200000000042,GARDEN LIQUEUR 250 ML,GARDEN LIQUEUR,GARDEN LIQUEUR 250 ML,10,Alcohol,103,LIQUEUR,,,37.61,28.8875,synthetic,23.2,N,N,holiday,1.4259e-06,,synthetic
00200000000043,200000000043,SEMI SWEET WHITE WINE 750 ML,SEMI SWEET WHITE WINE,SEMI SWEET WHITE WINE ,10,Alcohol,101,WINE,,Eastgate Distributors,11.93,8.853,synthetic,25.8,N,N,holiday,1.4481e-06,,synthetic
00200000000044,200000000044,FAMILY HOMESTYLE LIQUEUR 2 L,FAMILY HOMESTYLE LIQUEUR,FAMILY HOMESTYLE LIQUE,10,Alcohol,103,LIQUEUR,,Ironwood Supply,23.35,17.7641,synthetic,23.9,N,N,fall,5.3256e-06,,synthetic
00200000000045,200000000045,FAMILY BRANDY 1 L,FAMILY BRANDY,FAMILY BRANDY 1 L,10,Alcohol,104,BRANDY,,Ironwood Supply,28.37,20.4734,synthetic,27.8,N,N,winter,1.87e-06,,synthetic
00200000000046,200000000046,GARDEN FAMILY LIQUEUR 2 L,GARDEN FAMILY LIQUEUR,GARDEN FAMILY LIQUEUR ,10,Alcohol,103,LIQUEUR,,Continental Wholesale,28.76,19.5558,synthetic,32.0,N,N,flat,1.6186e-06,,synthetic
00200000000047,200000000047,HOMESTYLE CLASSIC BRANDY 330 ML,HOMESTYLE CLASSIC BRANDY,HOMESTYLE CLASSIC BRAN,10,Alcohol,104,BRANDY,Baltika Bay,Northfield Bakery Supply,40.44,27.1726,synthetic,32.8,N,N,winter,5.056e-07,,synthetic
00200000000048,200000000048,DRY RED FAMILY WINE 500 ML,DRY RED FAMILY WINE,DRY RED FAMILY WINE 50,10,Alcohol,101,WINE,,,10.53,7.9347,synthetic,24.6,N,N,holiday,1.7471e-06,,synthetic
00200000000049,200000000049,TRADITIONAL BRANDY 1.5 L,TRADITIONAL BRANDY,TRADITIONAL BRANDY 1.5,10,Alcohol,104,BRANDY,Dunav,Belmont Provisions,19.92,14.5386,synthetic,27.0,N,N,winter,4.1141e-06,,synthetic
00200000000050,200000000050,FARMHOUSE LIQUEUR 2 L,FARMHOUSE LIQUEUR,FARMHOUSE LIQUEUR 2 L,10,Alcohol,103,LIQUEUR,Falcon Ridge,Fairline Produce,32.79,22.4577,synthetic,31.5,N,N,holiday,5.336e-07,,synthetic
00200000000051,200000000051,CRANBERRY ORIGINAL VODKA 750 ML,CRANBERRY ORIGINAL VODKA,CRANBERRY ORIGINAL VOD,10,Alcohol,102,VODKA,,Dockside Seafood Co,14.73,10.91,synthetic,25.9,N,N,holiday,9.244e-07,,synthetic
00200000000052,200000000052,VILLAGE FARMHOUSE LIQUEUR 1.5 L,VILLAGE FARMHOUSE LIQUEUR,VILLAGE FARMHOUSE LIQU,10,Alcohol,103,LIQUEUR,,,14.99,10.7936,synthetic,28.0,N,N,holiday,1.3961e-06,,synthetic
00200000000053,200000000053,HONEY SELECT VODKA 330 ML,HONEY SELECT VODKA,HONEY SELECT VODKA 330,10,Alcohol,102,VODKA,Nevsky,Northfield Bakery Supply,19.0,14.1998,synthetic,25.3,N,N,holiday,5.542e-07,,synthetic
00200000000054,200000000054,CLASSIC VODKA 750 ML,CLASSIC VODKA,CLASSIC VODKA 750 ML,10,Alcohol,102,VODKA,Podolsk,Granary Trading,16.22,11.9901,synthetic,26.1,N,N,holiday,3.82235e-05,,synthetic
00200000000055,200000000055,CLASSIC BRANDY 250 ML,CLASSIC BRANDY,CLASSIC BRANDY 250 ML,10,Alcohol,104,BRANDY,Golden Steppe,Overland Foods,25.3,18.7208,synthetic,26.0,N,N,winter,8.688e-07,,synthetic
00200000000056,200000000056,TRADITIONAL LIQUEUR 500 ML,TRADITIONAL LIQUEUR,TRADITIONAL LIQUEUR 50,10,Alcohol,103,LIQUEUR,,Fairline Produce,15.08,11.7524,synthetic,22.1,N,N,holiday,4.3739e-06,,synthetic
00200000000057,200000000057,SPARKLING WINE 1 L,SPARKLING WINE,SPARKLING WINE 1 L,10,Alcohol,101,WINE,,,14.42,9.5657,synthetic,33.7,N,N,holiday,1.16622e-05,,synthetic
00200000000058,200000000058,CLASSIC LIQUEUR 750 ML,CLASSIC LIQUEUR,CLASSIC LIQUEUR 750 ML,10,Alcohol,103,LIQUEUR,Morozko,Lakeshore Dairy Co,17.55,12.9879,synthetic,26.0,N,N,holiday,5.047e-07,,synthetic
00200000000059,200000000059,VILLAGE LIQUEUR 1 L,VILLAGE LIQUEUR,VILLAGE LIQUEUR 1 L,10,Alcohol,103,LIQUEUR,Lastochka,Keystone Grocers Supply,19.24,14.6803,synthetic,23.7,N,N,holiday,8.862e-07,,synthetic
00200000000060,200000000060,DRY RED GARDEN WINE 2 L,DRY RED GARDEN WINE,DRY RED GARDEN WINE 2 ,10,Alcohol,101,WINE,Zorka,Fairline Produce,35.72,25.1561,synthetic,29.6,N,N,holiday,1.3037e-06,,synthetic
00200000000061,200000000061,SEMI SWEET RED WINE 1.5 L,SEMI SWEET RED WINE,SEMI SWEET RED WINE 1.,10,Alcohol,101,WINE,Yarilo,,11.67,7.8028,synthetic,33.1,N,N,holiday,3.4071e-06,,synthetic
00200000000062,200000000062,HOMESTYLE VILLAGE BRANDY 750 ML,HOMESTYLE VILLAGE BRANDY,HOMESTYLE VILLAGE BRAN,10,Alcohol,104,BRANDY,,,19.11,13.9672,synthetic,26.9,N,N,winter,5.831e-07,,synthetic
00200000000063,200000000063,DRY RED PREMIUM WINE 2 L,DRY RED PREMIUM WINE,DRY RED PREMIUM WINE 2,10,Alcohol,101,WINE,,,27.89,21.3839,synthetic,23.3,N,N,holiday,5.774e-07,,synthetic
00200000000064,200000000064,DRY RED TRADITIONAL WINE 2 L,DRY RED TRADITIONAL WINE,DRY RED TRADITIONAL WI,10,Alcohol,101,WINE,Alenka,,24.97,17.2613,synthetic,30.9,N,N,holiday,1.53658e-05,,synthetic
00200000000065,200000000065,DRY WHITE WINE 1.5 L,DRY WHITE WINE,DRY WHITE WINE 1.5 L,10,Alcohol,101,WINE,,Keystone Grocers Supply,29.12,22.1792,synthetic,23.8,N,N,holiday,1.7146e-06,,synthetic
00200000000066,200000000066,CLASSIC LIQUEUR 2 L,CLASSIC LIQUEUR,CLASSIC LIQUEUR 2 L,10,Alcohol,103,LIQUEUR,,,19.96,14.338,synthetic,28.2,N,N,holiday,7.47e-07,,synthetic
00200000000067,200000000067,SPARKLING FAMILY WINE 1 L,SPARKLING FAMILY WINE,SPARKLING FAMILY WINE ,10,Alcohol,101,WINE,,Ironwood Supply,9.06,6.5961,synthetic,27.2,N,N,holiday,2.2448e-06,,synthetic
00200000000068,200000000068,SEMI SWEET WHITE WINE 750 ML,SEMI SWEET WHITE WINE,SEMI SWEET WHITE WINE ,10,Alcohol,101,WINE,Zorka,,34.03,25.9926,synthetic,23.6,N,N,holiday,4.2098e-06,,synthetic
00200000000069,200000000069,SELECT BRANDY 250 ML,SELECT BRANDY,SELECT BRANDY 250 ML,10,Alcohol,104,BRANDY,,Granary Trading,29.61,20.7996,synthetic,29.8,N,N,winter,6.165e-07,,synthetic
00200000000070,200000000070,CLASSIC PREMIUM VODKA 250 ML,CLASSIC PREMIUM VODKA,CLASSIC PREMIUM VODKA ,10,Alcohol,102,VODKA,Falcon Ridge,Dockside Seafood Co,54.85,42.5696,synthetic,22.4,N,N,holiday,4.7274e-06,,synthetic
00200000000071,200000000071,HOMESTYLE VILLAGE BRANDY 500 ML,HOMESTYLE VILLAGE BRANDY,HOMESTYLE VILLAGE BRAN,10,Alcohol,104,BRANDY,Blue Danube,,18.78,13.5738,synthetic,27.7,N,N,winter,2.3684e-06,,synthetic
00200000000072,200000000072,DRY WHITE FARMHOUSE WINE 250 ML,DRY WHITE FARMHOUSE WINE,DRY WHITE FARMHOUSE WI,10,Alcohol,101,WINE,,,40.65,27.9733,synthetic,31.2,N,N,holiday,5.10073e-05,,synthetic
00200000000073,200000000073,SEMI SWEET WHITE WINE 250 ML,SEMI SWEET WHITE WINE,SEMI SWEET WHITE WINE ,10,Alcohol,101,WINE,,Fairline Produce,9.12,6.8622,synthetic,24.8,N,N,holiday,3.3817e-06,,synthetic
00200000000074,200000000074,SEMI SWEET WHITE CLASSIC WINE 750 ML,SEMI SWEET WHITE CLASSIC WINE,SEMI SWEET WHITE CLASS,10,Alcohol,101,WINE,Orlik,Lakeshore Dairy Co,21.48,15.0371,synthetic,30.0,N,N,flat,5.468e-07,,synthetic
00200000000075,200000000075,FAMILY LIQUEUR 1 L,FAMILY LIQUEUR,FAMILY LIQUEUR 1 L,10,Alcohol,103,LIQUEUR,,Continental Wholesale,24.69,18.1437,synthetic,26.5,N,N,holiday,1.1976e-06,,synthetic
00200000000076,200000000076,GARDEN CLASSIC LIQUEUR 1.5 L,GARDEN CLASSIC LIQUEUR,GARDEN CLASSIC LIQUEUR,10,Alcohol,103,LIQUEUR,,Granary Trading,17.56,12.8224,synthetic,27.0,N,N,holiday,8.983e-07,,synthetic
00200000000077,200000000077,ORIGINAL LIQUEUR 500 ML,ORIGINAL LIQUEUR,ORIGINAL LIQUEUR 500 M,10,Alcohol,103,LIQUEUR,Falcon Ridge,Belmont Provisions,30.8,23.7984,synthetic,22.7,N,N,holiday,9.266e-07,,synthetic
00200000000078,200000000078,DRY WHITE WINE 750 ML,DRY WHITE WINE,DRY WHITE WINE 750 ML,10,Alcohol,101,WINE,Yarilo,,19.75,13.8108,synthetic,30.1,N,N,holiday,7.528e-07,,synthetic
00200000000079,200000000079,PREMIUM CLASSIC LIQUEUR 750 ML,PREMIUM CLASSIC LIQUEUR,PREMIUM CLASSIC LIQUEU,10,Alcohol,103,LIQUEUR,Fjordline,Eastgate Distributors,15.0,10.4857,synthetic,30.1,N,N,holiday,6.34169e-05,,synthetic
00200000000080,200000000080,SEMI SWEET WHITE WINE 750 ML,SEMI SWEET WHITE WINE,SEMI SWEET WHITE WINE ,10,Alcohol,101,WINE,Ekran,Meridian Import Group,35.05,23.3839,synthetic,33.3,N,N,holiday,2.0684e-06,,synthetic
00200000000081,200000000081,ORIGINAL BRANDY 330 ML,ORIGINAL BRANDY,ORIGINAL BRANDY 330 ML,10,Alcohol,104,BRANDY,,Lakeshore Dairy Co,51.22,34.7042,synthetic,32.2,N,N,spring,5.886e-07,,synthetic
00200000000082,200000000082,HOMESTYLE ORIGINAL BRANDY 500 ML,HOMESTYLE ORIGINAL BRANDY,HOMESTYLE ORIGINAL BRA,10,Alcohol,104,BRANDY,,Meridian Import Group,36.94,27.6662,synthetic,25.1,N,N,spring,2.238e-06,,synthetic
00200000000083,200000000083,HONEY VODKA 500 ML,HONEY VODKA,HONEY VODKA 500 ML,10,Alcohol,102,VODKA,,Fairline Produce,37.44,28.5733,synthetic,23.7,N,N,holiday,5.457e-07,,synthetic
00200000000084,200000000084,DRY WHITE CLASSIC WINE 250 ML,DRY WHITE CLASSIC WINE,DRY WHITE CLASSIC WINE,10,Alcohol,101,WINE,,Anchor Foods Import,26.17,19.9787,synthetic,23.7,N,N,holiday,5.02e-07,,synthetic
00200000000085,200000000085,HONEY TRADITIONAL VODKA 330 ML,HONEY TRADITIONAL VODKA,HONEY TRADITIONAL VODK,10,Alcohol,102,VODKA,Amber Field,Granary Trading,33.65,23.0612,synthetic,31.5,N,N,holiday,1.2059e-06,,synthetic
00200000000086,200000000086,FARMHOUSE LIQUEUR 500 ML,FARMHOUSE LIQUEUR,FARMHOUSE LIQUEUR 500 ,10,Alcohol,103,LIQUEUR,,Anchor Foods Import,35.01,26.1062,synthetic,25.4,N,N,holiday,2.4401e-06,,synthetic
00200000000087,200000000087,CLASSIC LIQUEUR 1.5 L,CLASSIC LIQUEUR,CLASSIC LIQUEUR 1.5 L,10,Alcohol,103,LIQUEUR,Fjordline,,32.69,24.8888,synthetic,23.9,N,N,holiday,1.4954e-06,,synthetic
00200000000088,200000000088,DRY RED WINE 750 ML,DRY RED WINE,DRY RED WINE 750 ML,10,Alcohol,101,WINE,,Continental Wholesale,9.89,7.4589,synthetic,24.6,N,N,holiday,2.8264e-06,,synthetic
00200000000089,200000000089,GARDEN CLASSIC LIQUEUR 750 ML,GARDEN CLASSIC LIQUEUR,GARDEN CLASSIC LIQUEUR,10,Alcohol,103,LIQUEUR,Yarilo,Fairline Produce,19.49,14.3846,synthetic,26.2,N,N,holiday,3.1569e-06,,synthetic
00200000000090,200000000090,CRANBERRY ORIGINAL VODKA 250 ML,CRANBERRY ORIGINAL VODKA,CRANBERRY ORIGINAL VOD,10,Alcohol,102,VODKA,Nevsky,Ironwood Supply,13.08,9.4079,synthetic,28.1,N,N,holiday,3.77693e-05,,synthetic
00200000000091,200000000091,SPARKLING ORIGINAL WINE 2 L,SPARKLING ORIGINAL WINE,SPARKLING ORIGINAL WIN,10,Alcohol,101,WINE,Falcon Ridge,Harbor Point Foods,12.0,8.5751,synthetic,28.5,N,N,holiday,9.4739e-06,,synthetic
00200000000092,200000000092,VILLAGE LIQUEUR 2 L,VILLAGE LIQUEUR,VILLAGE LIQUEUR 2 L,10,Alcohol,103,LIQUEUR,,Anchor Foods Import,14.99,10.1531,synthetic,32.3,N,N,holiday,3.1715e-06,,synthetic
00200000000093,200000000093,ROSE HOMESTYLE WINE 750 ML,ROSE HOMESTYLE WINE,ROSE HOMESTYLE WINE 75,10,Alcohol,101,WINE,Alenka,,26.42,18.3849,synthetic,30.4,N,N,holiday,1.0431e-06,,synthetic
00200000000094,200000000094,CRANBERRY SELECT VODKA 330 ML,CRANBERRY SELECT VODKA,CRANBERRY SELECT VODKA,10,Alcohol,102,VODKA,,Harbor Point Foods,20.37,13.7732,synthetic,32.4,N,N,holiday,1.22278e-05,,synthetic
00200000000095,200000000095,PREMIUM HOMESTYLE BRANDY 1 L,PREMIUM HOMESTYLE BRANDY,PREMIUM HOMESTYLE BRAN,10,Alcohol,104,BRANDY,,Belmont Provisions,18.85,12.9681,synthetic,31.2,N,N,winter,7.325e-07,,synthetic
00200000000096,200000000096,RYE TRADITIONAL VODKA 750 ML,RYE TRADITIONAL VODKA,RYE TRADITIONAL VODKA ,10,Alcohol,102,VODKA,Lastochka,Eastgate Distributors,20.96,16.2239,synthetic,22.6,N,N,holiday,1.4518e-06,,synthetic
00200000000097,200000000097,PREMIUM CLASSIC LIQUEUR 1.5 L,PREMIUM CLASSIC LIQUEUR,PREMIUM CLASSIC LIQUEU,10,Alcohol,103,LIQUEUR,Tulip Farms,,19.6,14.3139,synthetic,27.0,N,N,holiday,8.038e-07,,synthetic
00200000000098,200000000098,SELECT VILLAGE LIQUEUR 1.5 L,SELECT VILLAGE LIQUEUR,SELECT VILLAGE LIQUEUR,10,Alcohol,103,LIQUEUR,White Birch,,24.36,18.725,synthetic,23.1,N,N,holiday,6.659e-07,,synthetic
00200000000099,200000000099,SELECT TRADITIONAL BRANDY 1 L,SELECT TRADITIONAL BRANDY,SELECT TRADITIONAL BRA,10,Alcohol,104,BRANDY,Elbrus,,24.92,19.2698,synthetic,22.7,N,N,winter,4.0715e-06,,synthetic
00200000000100,200000000100,TRADITIONAL BRANDY 500 ML,TRADITIONAL BRANDY,TRADITIONAL BRANDY 500,10,Alcohol,104,BRANDY,,Harbor Point Foods,16.99,11.6635,synthetic,31.4,N,N,winter,6.247e-07,,synthetic
00200000000101,200000000101,SEMI SWEET RED WINE 1 L,SEMI SWEET RED WINE,SEMI SWEET RED WINE 1 ,10,Alcohol,101,WINE,Havlicek,Continental Wholesale,22.59,17.4862,synthetic,22.6,N,N,holiday,7.397e-06,,synthetic
00200000000102,200000000102,VILLAGE ORIGINAL LIQUEUR 1.5 L,VILLAGE ORIGINAL LIQUEUR,VILLAGE ORIGINAL LIQUE,10,Alcohol,103,LIQUEUR,,Meridian Import Group,15.12,11.6359,synthetic,23.0,N,N,holiday,5.0919e-06,,synthetic
00200000000103,200000000103,TRADITIONAL CLASSIC BRANDY 330 ML,TRADITIONAL CLASSIC BRANDY,TRADITIONAL CLASSIC BR,10,Alcohol,104,BRANDY,Havlicek,Keystone Grocers Supply,54.35,36.1788,synthetic,33.4,N,N,winter,6.2138e-06,,synthetic
00200000000104,200000000104,RYE VODKA 1.5 L,RYE VODKA,RYE VODKA 1.5 L,10,Alcohol,102,VODKA,,Meridian Import Group,13.0,9.7821,synthetic,24.8,N,N,holiday,1.2949e-06,,synthetic
00200000000105,200000000105,DRY WHITE SELECT WINE 1 L,DRY WHITE SELECT WINE,DRY WHITE SELECT WINE ,10,Alcohol,101,WINE,,Granary Trading,13.5,10.4939,synthetic,22.3,N,N,holiday,5.586e-07,,synthetic
00200000000106,200000000106,TRADITIONAL LIQUEUR 500 ML,TRADITIONAL LIQUEUR,TRADITIONAL LIQUEUR 50,10,Alcohol,103,LIQUEUR,,,18.56,13.7594,synthetic,25.9,N,N,holiday,1.8465e-06,,synthetic
00200000000107,200000000107,PREMIUM LIQUEUR 1.5 L,PREMIUM LIQUEUR,PREMIUM LIQUEUR 1.5 L,10,Alcohol,103,LIQUEUR,,Northfield Bakery Supply,15.13,10.6469,synthetic,29.6,N,N,fall,7.921e-07,,synthetic
